,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
236,São João da Barra,0,BR,1612987538,57,-21.6403,-41.0511,301.15,7.2
237,Ahipara,98,NZ,1612987539,89,-35.1667,173.1667,290.23,4.44
238,Garissa,53,KE,1612987541,46,-0.4536,39.6401,301.43,6.18
239,Zhigansk,0,RU,1612987542,84,66.7697,123.3711,244.37,4.97
240,Portland,75,US,1612987478,61,45.5234,-122.6762,279.82,1.54
241,Jales,43,BR,1612987544,43,-20.2689,-50.5458,302.97,1.92
242,Flinders,22,AU,1612987545,87,-34.5833,150.8552,289.82,0.45
243,Ruteng,100,ID,1612987546,100,-8.6136,120.4721,290.49,0.29
244,Loandjili,100,CG,1612987547,85,-4.7561,11.8578,299.87,1.8
245,Leshukonskoye,70,RU,1612987549,90,64.8989,45.7622,249.63,2.02
246,Cherskiy,0,RU,1612987469,85,68.75,161.3,249.45,0.79
247,Verkhniy Avzyan,93,RU,1612987551,91,53.5289,57.5372,255.52,1.35
248,Kirakira,100,SB,1612987552,78,-10.4544,161.9205,300.04,1.72
249,College,90,US,1612987553,65,64.8569,-147.8028,253.15,1.54
250,La Rioja,0,ES,1612987554,71,42.25,-2.5,281.15,0.51
251,Carutapera,98,BR,1612987506,69,-1.195,-46.02,301.63,3.8
252,Guiglo,100,CI,1612987556,49,6.5456,-7.4966,301.86,2.77
253,Klamath Falls,1,US,1612987453,49,42.2249,-121.7817,281.48,2.06
254,Jørpeland,75,NO,1612987559,50,59.0225,6.0408,271.48,3.09
255,Harper,0,LR,1612987560,85,4.375,-7.7169,299.62,3.42
256,Grand-Bourg,75,GP,1612987561,78,15.8835,-61.3148,301.15,4.63
257,Moïssala,82,TD,1612987562,16,8.3404,17.7663,298.56,0.8
258,Nazarovo,100,RU,1612987563,90,56.0064,90.3914,251.25,2.53
259,Norman Wells,40,CA,1612987541,74,65.282,-126.8329,236.15,2.06
260,Makakilo City,1,US,1612987565,46,21.3469,-158.0858,297.15,2.06
261,Aksarka,79,RU,1612987567,82,66.5606,67.7975,240.81,0.88
262,Faya,0,SA,1612987568,58,18.3851,42.4509,287.15,2.08
263,Port Macquarie,62,AU,1612987569,99,-31.4333,152.9167,290.37,1.49
264,Novosheshminsk,100,RU,1612987570,92,55.0651,51.2338,256.49,3.46
265,Sur,58,OM,1612987571,69,22.5667,59.5289,293.05,1.34
266,Poliçan,100,AL,1612987572,72,40.6122,20.0981,283.56,6.14
267,Bad Orb,0,DE,1612987573,79,50.2279,9.3478,268.15,1.59
268,Kumul,99,CN,1612987575,83,42.8,93.45,271.81,2.69
269,Road Town,20,VG,1612987576,61,18.4167,-64.6167,301.15,5.66
270,Viedma,62,AR,1612987577,39,-40.8135,-62.9967,302.59,9.82
271,Bengkulu,52,ID,1612987493,88,-3.8004,102.2655,296.83,2.06
272,Okha,100,RU,1612987525,97,53.5739,142.9478,266.23,7.3
273,Katangli,100,RU,1612987580,96,51.7102,143.2326,263.44,6.8
274,Jiamusi,99,CN,1612987581,93,46.8333,130.35,260.68,3.02
275,Coahuayana Viejo,40,MX,1612987582,47,18.7333,-103.6833,300.15,2.93
276,Shimoni,78,KE,1612987583,81,-4.6476,39.3817,299.73,5.27
277,Alofi,75,NU,1612987585,89,-19.0595,-169.9187,301.15,2.57
278,Belyy Yar,0,RU,1612987586,60,53.6039,91.3903,256.15,3.0
279,Esim,30,GH,1612987587,82,4.8699,-2.2405,300.4,4.67
280,Yerbogachën,99,RU,1612987589,88,61.2767,108.0108,249.74,1.69
281,Tabuk,1,PH,1612987590,90,17.4189,121.4443,293.31,1.17
282,Tasiilaq,75,GL,1612987591,52,65.6145,-37.6368,261.15,2.06
283,Esqueda,100,MX,1612987592,28,30.7167,-109.5833,290.6,7.42
284,Jiangyou,64,CN,1612987593,58,31.7667,104.7167,284.35,1.15
285,Laas,40,IT,1612987594,86,46.6166,10.7002,275.37,3.6
286,Angoche,100,MZ,1612987595,88,-16.2325,39.9086,298.9,6.21
287,Skjervøy,90,NO,1612987597,86,70.0311,20.9714,270.15,3.09
288,Mutoko,97,ZW,1612987598,88,-17.397,32.2268,291.39,0.6
289,Acarí,75,PE,1612987599,52,-15.4311,-74.6158,300.69,4.79
290,Ust-Kuyga,12,RU,1612987600,81,70.0167,135.6,246.67,1.87
291,Ngunguru,98,NZ,1612987601,96,-35.6167,174.5,290.37,1.34
292,Norrtälje,100,SE,1612987602,84,59.758,18.705,270.93,4.92
293,Fare,0,PF,1612987603,72,-16.7,-151.0167,300.62,4.83
294,Sorong,93,ID,1612987604,81,-0.8833,131.25,300.49,1.91
295,Żurrieq,0,MT,1612987606,63,35.8311,14.4742,290.93,6.17
296,Bulawayo,100,ZW,1612987607,90,-20.15,28.5833,291.69,4.54
297,Altamira,75,BR,1612987608,83,-3.2033,-52.2064,301.15,1.54
298,Santiago,40,CL,1612987127,45,-33.4569,-70.6483,304.26,3.6
299,Karasburg,100,NA,1612987610,38,-28.0167,18.75,299.62,1.32
300,Moussoro,70,TD,1612987611,17,13.6408,16.4901,297.3,4.18
301,Chester,1,US,1612987612,59,40.1254,-75.8749,273.15,2.57
302,Port Shepstone,100,ZA,1612987614,84,-30.7414,30.455,298.32,6.39
303,Shar,77,KZ,1612987615,86,49.5886,81.0453,249.5,0.08
304,Aurich,75,DE,1612987576,64,53.4667,7.4833,271.15,2.57
305,Herat Province,0,AF,1612987617,45,34.5,62.0,283.92,1.82
306,Ürümqi,75,CN,1612987094,92,43.801,87.6005,264.15,2.0
307,Weston,40,US,1612987619,41,26.1004,-80.3998,301.48,4.12
308,Pisco,75,PE,1612987620,73,-13.7,-76.2167,298.15,4.63
309,Dogbo,0,BJ,1612987622,71,6.8167,1.7833,301.48,4.15
310,Huamachuco,91,PE,1612987623,60,-7.8,-78.0667,289.18,3.27
311,Airai,100,TL,1612987505,100,-8.9266,125.4092,289.3,0.76
312,Iisaku Parish,100,EE,1612987625,95,59.1014,27.3081,259.3,2.96
313,Tuy Hoa,100,VN,1612987626,85,13.0833,109.3,293.9,3.46
314,Bolshaya Glushitsa,100,RU,1612987627,93,50.2406,43.5908,272.59,5.59
315,Bredasdorp,64,ZA,1612987628,73,-34.5322,20.0403,294.15,3.6
316,Vestmannaeyjar,100,IS,1612987629,67,63.4427,-20.2734,278.27,10.96
317,Madison Heights,90,US,1612987631,63,42.4859,-83.1052,267.04,2.06
318,Pervomayskoye,100,RU,1612987632,85,43.919,46.7102,281.14,5.83
319,Ambon City,20,ID,1612987633,89,-3.6954,128.1814,299.15,1.54
320,Châlons-en-Champagne,20,FR,1612987634,80,48.9539,4.3672,269.15,4.63
321,Am Timan,41,TD,1612987635,18,11.0297,20.2827,296.73,1.98
322,Lincoln,75,US,1612987636,52,40.8,-96.667,262.59,4.12
323,Novy Urengoy,100,RU,1612987637,86,66.0833,76.6333,242.7,5.96
324,Hargeisa,21,SO,1612987638,77,9.56,44.065,287.6,4.31
325,Joshīmath,0,IN,1612987640,35,30.5667,79.5667,279.05,3.54
326,Salym,0,RU,1612987641,85,60.0625,71.4789,241.42,2.61
327,Frankfort,98,ZA,1612987603,89,-27.2667,28.4833,289.59,1.92
328,Conde,75,BR,1612987643,70,-7.2597,-34.9075,302.15,6.17
329,Carbonia,20,IT,1612987644,87,39.1672,8.5222,285.15,8.75
330,Amberley,90,US,1612987645,80,39.2048,-84.428,268.15,2.57
331,Saint Anthony,1,US,1612987646,47,45.0205,-93.218,260.15,6.69
332,Inírida,80,CO,1612987648,72,3.8653,-67.9239,302.95,2.12
333,Laguna,1,US,1612987649,63,38.421,-121.4238,291.48,2.57
334,Kailua,75,US,1612987650,49,21.4022,-157.7394,296.15,3.09
335,Mackay,90,AU,1612987400,69,-21.15,149.2,299.15,2.57
336,Madison,1,US,1612987652,40,34.7334,-86.5667,295.37,6.17
337,Vardø,90,NO,1612987560,86,70.3705,31.1107,267.15,13.38
338,Alice Springs,40,AU,1612987480,61,-23.7,133.8833,302.15,4.12
339,Huanan,90,CN,1612987656,96,46.2167,130.5167,260.35,1.95
340,Sakaiminato,75,JP,1612987657,87,35.55,133.2333,277.15,1.03
341,Yar-Sale,100,RU,1612987658,85,66.8333,70.8333,242.54,5.98
342,Hofn,75,IS,1612987659,93,64.2539,-15.2082,272.15,7.77
343,Saurimo,100,AO,1612987660,94,-9.6608,20.3916,293.02,1.93
344,Baykit,100,RU,1612987661,85,61.67,96.37,248.53,1.24
345,Tūkrah,0,LY,1612987663,38,32.5341,20.5791,289.62,4.23
346,Isangel,40,VU,1612987664,78,-19.55,169.2667,301.15,2.06
347,Port Lincoln,12,AU,1612987477,45,-34.7333,135.8667,297.01,5.55
348,Kathmandu,40,NP,1612987666,87,27.7167,85.3167,283.15,0.26
349,Surskoye,100,RU,1612987667,93,54.4821,46.7214,257.93,4.49
350,Kopāganj,0,IN,1612987668,75,26.0233,83.5658,286.9,0.89
351,Ossora,100,RU,1612987669,95,59.2353,163.0719,263.71,4.2
352,Hals,90,DK,1612987670,80,56.9961,10.3081,269.26,3.6
353,Sayyan,56,YE,1612987672,47,15.1718,44.3244,283.51,2.69
354,Sambava,100,MG,1612987673,85,-14.2667,50.1667,298.44,0.67
355,Rørvik,0,NO,1612987674,92,64.8621,11.2373,260.15,2.06
356,Hobyo,24,SO,1612987571,76,5.3505,48.5268,298.31,9.36
357,Palana,55,RU,1612987676,91,59.1167,159.9667,263.46,5.19
358,Tawang Town,56,IN,1612987677,86,27.5833,91.8667,273.54,1.07
